reportDate;country_name_german;cases;deaths;countryCode;population_number;population_density
27-01-2020;Thailand;8;0;TH;65931550;128
28-01-2020;Thailand;14;0;TH;65931550;128
29-01-2020;Thailand;14;0;TH;65931550;128
30-01-2020;Thailand;14;0;TH;65931550;128
31-01-2020;Thailand;19;0;TH;65931550;128
01-02-2020;Thailand;19;0;TH;65931550;128
02-02-2020;Thailand;19;0;TH;65931550;128
03-02-2020;Thailand;19;0;TH;65931550;128
04-02-2020;Thailand;25;0;TH;65931550;128
05-02-2020;Thailand;25;0;TH;65931550;128
06-02-2020;Thailand;25;0;TH;65931550;128
07-02-2020;Thailand;25;0;TH;65931550;128
08-02-2020;Thailand;32;0;TH;65931550;128
09-02-2020;Thailand;32;0;TH;65931550;128
10-02-2020;Thailand;32;0;TH;65931550;128
11-02-2020;Thailand;33;0;TH;65931550;128
12-02-2020;Thailand;33;0;TH;65931550;128
13-02-2020;Thailand;33;0;TH;65931550;128
14-02-2020;Thailand;33;0;TH;65931550;128
15-02-2020;Thailand;33;0;TH;65931550;128
16-02-2020;Thailand;34;0;TH;65931550;128
17-02-2020;Thailand;35;0;TH;65931550;128
18-02-2020;Thailand;35;0;TH;65931550;128
19-02-2020;Thailand;35;0;TH;65931550;128
20-02-2020;Thailand;35;0;TH;65931550;128
21-02-2020;Thailand;35;0;TH;65931550;128
22-02-2020;Thailand;35;0;TH;65931550;128
23-02-2020;Thailand;35;0;TH;65931550;128
24-02-2020;Thailand;35;0;TH;65931550;128
