stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-SL,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),301,1,996000,388
DE-SN,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),731,1,4085000,221
DE-ST,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),269,0,2245000,110
DE-SH,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),436,1,2859000,181
DE-TH,2020-03-22,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),237,0,2171000,134
DE-BW,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),5333,31,10880000,304
DE-BY,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),5719,27,12844000,182
DE-BE,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1219,2,3520000,3948
DE-BB,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),385,1,2485000,84
DE-HB,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),175,0,671000,1599
DE-HH,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),989,1,1787000,2366
DE-HE,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1352,3,6176000,293
DE-MV,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),201,0,1612000,69
DE-NI,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1779,6,7927000,167
DE-NW,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),8224,40,17866000,524
DE-RP,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1285,4,4053000,204
DE-SL,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),383,1,996000,388
DE-SN,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),865,3,4085000,221
DE-ST,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),303,1,2245000,110
DE-SH,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),467,1,2859000,181
DE-TH,2020-03-23,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),263,1,2171000,134
DE-BW,2020-03-24,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),6476,32,10880000,304
